"Row"	"Tree"	"Block"	"nursery_id"	"PLANTID"	"apple_id"	"comments"	"rank"	"date_jul_16_harv"	"date_jul_17_harv"
1	34	"North"	6202	"Champlain"	560	"Top 20 Esters"	1	263.095217704835	246.998056110343
1	51	"North"	3152	"KAZ 96 08-16"	217	"Top 20 Esters"	1	285.819635691988	267.864125513346
1	59	"North"	2272	"Crimson Beauty"	158	"Top 10 Ketones"	3	226.204002484166	225.40308254621
3	1	"North"	11068	"Paragon"	1051	"Bottom 20 Esters"	1	310.740119570487	281.903611335417
3	45	"North"	3289	"KAS 60"	260	"Bottom 10 Aldehydes"	2	302.164283409809	282.009382924241
3	56	"North"	4037	"KAS 47"	1226	"Top 20 Esters"	1	288.409448454541	257.771161400125
5	4	"North"	6236	"Amelia"	571	"Bottom 10 Aldehydes"	2	308.228430933833	272.185169946036
5	7	"North"	11053	"Pommier Llorca"	1046	"Top 20 Esters"	1	NA	240.298252346457
5	13	"North"	5147	"American Forestier"	436	"Bottom 20 Esters"	1	311.615640265023	289.2203878564
5	57	"North"	3052	"Burgundy"	191	"Top 20 Esters"	1	292.343549171815	253.656030064728
7	13	"North"	8165	"Krievu Rosmarins"	751	"Top 20 Esters"	1	258.824847011748	247.352749299067
7	17	"North"	5006	"Bonza"	389	"Bottom 20 Esters"	1	312.878761717967	267.960036517539
7	37	"North"	3001	"Mollie's Delicious"	177	"Bottom 10 Aldehydes"	2	263.453523077942	250.413619990201
7	42	"North"	5141	"Blaxtayman"	434	"Bottom 20 Esters"	1	312.865835864871	267.767307422489
7	48	"North"	4022	"KAS 69"	290	"Top 20 Esters"	1	265.10460487466	240.02873358652
7	59	"North"	10085	"Mucina"	942	"Top 10 Aldehydes"	2	NA	253.027967792458
9	6	"North"	3133	"Ein Shemer"	212	"Top 20 Esters"	1	281.793148967744	246.930978535262
9	35	"North"	10031	"Oliver or Senator"	924	"Top 10 Aldehydes"	2	310.414301837211	271.599764278347
11	27	"North"	4209	"KAR 28"	1224	"Bottom 20 Esters"	1	309.983491753033	272.10472087909
11	52	"North"	5093	"Anisim"	418	"Bottom 20 Esters"	1	306.324146837445	281.426446909463
13	5	"North"	8300	"Goldjon"	796	"Top 10 Aldehydes"	2	311.615640265023	267.7665357758
13	6	"North"	4085	"KAS 40"	308	"Top 20 Esters"	1	311.141820416361	264.706933032937
13	16	"North"	9097	"Koidu Renett"	839	"Top 20 Esters"	1	257.403233224841	236.529072887898
13	18	"North"	9304	"Imperial Stayman"	907	"Top 10 Aldehydes"	2	308.792177730089	268.287900360653
13	45	"North"	4097	"Crimson Gold"	312	"Top 10 Ketones"	3	NA	274.014840964848
15	4	"North"	7204	"S29-08-17"	658	"Bottom 10 Aldehydes"	2	NA	267.69212956525
15	6	"North"	5010	"Aargauer Jubilaums"	390	"Bottom 10 Aldehydes"	2	NA	282.651147209945
15	12	"North"	3064	"Poeltsamaa Winter Apple"	195	"Top 10 Aldehydes"	2	268.526135121907	253.69212956525
15	19	"North"	3295	"Chehalis"	262	"Top 10 Ketones"	3	278.648533713718	260.69212956525
15	33	"North"	6143	"Dukat"	540	"Bottom 10 Aldehydes"	2	290.303775771216	260.466259419763
15	40	"North"	1008	"Enterprise"	3	"Top 10 Ketones"	3	304.303775771216	271.788077769901
15	50	"North"	11020	"Nubeena"	1035	"Bottom 20 Esters"	1	311.734245685366	288.578292578954
17	51	"North"	10046	"Montgomery"	929	"Top 5 Alcohols"	4	267.226939645233	246.489777293046
17	62	"North"	10048	"Montgomery"	929	"Top 5 Alcohols"	4	267.226939645233	246.489777293046
1	14	"South"	10120	"Patul"	953	"Bottom 20 Esters"	1	NA	268.2203878564
1	31	"South"	11054	"Pommier Llorca"	1046	"Top 20 Esters"	1	NA	240.298252346457
3	11	"South"	3134	"Ein Shemer"	212	"Top 20 Esters"	1	281.793148967744	246.930978535262
3	12	"South"	9067	"Keegan's Crab"	829	"Top 5 Alcohols"	4	248.684691538261	239.489229287227
3	25	"South"	5142	"Blaxtayman"	434	"Bottom 20 Esters"	1	312.865835864871	267.767307422489
3	36	"South"	5007	"Bonza"	389	"Bottom 20 Esters"	1	312.878761717967	267.960036517539
5	40	"South"	3240	"Hokuto"	243	"Top 10 Ketones"	3	310.860979694235	275.237358842554
5	43	"South"	5050	"Black Ben Davis"	403	"Bottom 20 Esters"	1	310.578398974672	282.660725138338
5	46	"South"	6248	"Ottawa 665"	575	"Top 20 Esters"	1	300.8241131677	263.957926231171
5	51	"South"	4210	"KAR 28"	1224	"Bottom 20 Esters"	1	309.983491753033	272.10472087909
7	11	"South"	3122	"Smith Jonathan"	209	"Bottom 10 Aldehydes"	2	NA	281.219279083808
7	30	"South"	2339	"GMAL 3158"	175	"Top 5 Alcohols"	4	NA	247.024881744459
7	33	"South"	2273	"Crimson Beauty"	158	"Top 10 Ketones"	3	226.204002484166	225.40308254621
7	34	"South"	10086	"Mucina"	942	"Top 10 Aldehydes"	2	NA	253.027967792458
7	60	"South"	4006	"KAR 96"	284	"Top 20 Esters"	1	246.409448454541	236.691291623587
9	20	"South"	3186	"Esopus Spitzenburg"	227	"Top 10 Aldehydes"	2	NA	274.926506855208
9	48	"South"	4023	"KAS 69"	290	"Top 20 Esters"	1	265.10460487466	240.02873358652
9	58	"South"	9305	"Imperial Stayman"	907	"Top 10 Aldehydes"	2	308.792177730089	268.287900360653
11	45	"South"	3168	"Megumi"	221	"Top 10 Aldehydes"	2	306.403233224841	281.312683695199
11	56	"South"	1009	"Enterprise"	3	"Top 10 Ketones"	3	304.303775771216	271.788077769901
13	3	"South"	10047	"Montgomery"	929	"Top 5 Alcohols"	4	267.226939645233	246.489777293046
13	21	"South"	3078	"GMAL 2251"	197	"Bottom 20 Esters"	1	NA	249.989777293046
13	46	"South"	4054	"KAR 110"	298	"Top 20 Esters"	1	286.395399008459	264.914713327867
15	6	"South"	11207	"Redhook"	1096	"Top 5 Alcohols"	4	283.303775771216	257.330184279009
15	32	"South"	5110	"Chautauqua"	423	"Bottom 20 Esters"	1	306.59741881005	285.809524983144
15	37	"South"	8173	"Kestrel"	753	"Top 20 Esters"	1	285.907995244783	257.703232444966
15	38	"South"	5011	"Aargauer Jubilaums"	390	"Bottom 10 Aldehydes"	2	NA	282.651147209945
15	45	"South"	2343	"Jonagold"	176	"Bottom 10 Aldehydes"	2	300.393213516063	281.928801619345
15	50	"South"	11232	"Rose de Benauge"	1104	"Bottom 20 Esters"	1	305.101185657663	288.489229287227
15	54	"South"	3065	"Poeltsamaa Winter Apple"	195	"Top 10 Aldehydes"	2	268.526135121907	253.69212956525
17	8	"South"	4098	"Crimson Gold"	312	"Top 10 Ketones"	3	NA	274.014840964848
17	45	"South"	4027	"KAS 68"	291	"Top 20 Esters"	1	246.329525918276	233.745462080596
17	49	"South"	10027	"Lyman Prolific"	922	"Bottom 20 Esters"	1	NA	239.636872325005
17	51	"South"	3296	"Chehalis"	262	"Top 10 Ketones"	3	278.648533713718	260.69212956525
2	3	"North"	7234	"S31-04-41"	668	"Top 20 Esters"	1	NA	246.860811398102
2	6	"North"	3184	"Esopus Spitzenburg"	227	"Top 10 Aldehydes"	2	NA	274.926506855208
2	38	"North"	3346	"KAS 65"	279	"Bottom 20 Esters"	1	NA	281.88547690468
4	5	"North"	8276	"Fallawater"	788	"Bottom 20 Esters"	1	308.888119531022	274.572970093756
4	9	"North"	2338	"GMAL 3158"	175	"Top 5 Alcohols"	4	NA	247.024881744459
4	17	"North"	4025	"KAS 68"	291	"Top 20 Esters"	1	246.329525918276	233.745462080596
4	26	"North"	10118	"Patul"	953	"Bottom 20 Esters"	1	NA	268.2203878564
4	55	"North"	4005	"KAR 96"	284	"Top 20 Esters"	1	246.409448454541	236.691291623587
6	40	"North"	5048	"Black Ben Davis"	403	"Bottom 20 Esters"	1	310.578398974672	282.660725138338
6	41	"North"	4019	"KAR 112"	289	"Top 10 Ketones"	3	309.883518562886	268.21393147428
6	43	"North"	7251	"S42-40-09"	674	"Bottom 20 Esters"	1	NA	259.736272670345
8	38	"North"	10178	"Oekonomierat Echter-meyer"	973	"Bottom 20 Esters"	1	NA	282.31508500231
8	47	"North"	11069	"Paragon"	1051	"Bottom 20 Esters"	1	310.740119570487	281.903611335417
10	6	"North"	5109	"Chautauqua"	423	"Bottom 20 Esters"	1	306.59741881005	285.809524983144
10	9	"North"	4244	"KAR 25"	356	"Top 10 Ketones"	3	283.987759139856	253.967902756344
10	14	"North"	8246	"Idajon"	778	"Top 10 Aldehydes"	2	295.793148967744	267.967902756344
10	21	"North"	10179	"Oekonomierat Echter-meyer"	973	"Bottom 20 Esters"	1	NA	282.31508500231
10	30	"North"	3313	"KAR 80"	268	"Top 20 Esters"	1	310.414301837211	253.755317679988
10	38	"North"	8171	"Kestrel"	753	"Top 20 Esters"	1	285.907995244783	257.703232444966
10	39	"North"	4172	"Sid the Kid"	335	"Top 20 Esters"	1	NA	254.619251044719
10	58	"North"	2341	"Jonagold"	176	"Bottom 10 Aldehydes"	2	300.393213516063	281.928801619345
12	24	"North"	4053	"KAR 110"	298	"Top 20 Esters"	1	286.395399008459	264.914713327867
14	14	"North"	3166	"Megumi"	221	"Top 10 Aldehydes"	2	306.403233224841	281.312683695199
14	20	"North"	10235	"Porter"	991	"Top 20 Esters"	1	288.770932305529	254.745462080596
14	21	"North"	6193	"Amere de Bellevue"	557	"Bottom 20 Esters"	1	306.343549171815	269.164719435614
14	26	"North"	10026	"Lyman Prolific"	922	"Bottom 20 Esters"	1	NA	239.636872325005
14	37	"North"	9033	"Huidobro"	818	"Bottom 10 Aldehydes"	2	306.716071434525	285.644009767475
16	17	"North"	2302	"Granny Smith"	167	"Bottom 20 Esters"	1	308.792177730089	281.69212956525
16	32	"North"	11206	"Redhook"	1096	"Top 5 Alcohols"	4	283.303775771216	257.330184279009
16	54	"North"	8279	"Lande"	789	"Top 10 Aldehydes"	2	313.431974540267	282.913333608956
16	55	"North"	3238	"Hokuto"	243	"Top 10 Ketones"	3	310.860979694235	275.237358842554
18	8	"North"	6247	"Ottawa 665"	575	"Top 20 Esters"	1	300.8241131677	263.957926231171
18	35	"North"	11231	"Rose de Benauge"	1104	"Bottom 20 Esters"	1	305.101185657663	288.489229287227
18	56	"North"	3077	"GMAL 2251"	197	"Bottom 20 Esters"	1	NA	249.989777293046
18	60	"North"	8271	"Geoagiu 21"	786	"Top 10 Aldehydes"	2	304.987759139856	253.760275502283
2	15	"South"	5148	"American Forestier"	436	"Bottom 20 Esters"	1	311.615640265023	289.2203878564
2	21	"South"	8302	"Goldjon"	796	"Top 10 Aldehydes"	2	311.615640265023	267.7665357758
2	28	"South"	3002	"Mollie's Delicious"	177	"Bottom 10 Aldehydes"	2	263.453523077942	250.413619990201
2	55	"South"	4087	"KAS 40"	308	"Top 20 Esters"	1	311.141820416361	264.706933032937
2	57	"South"	10180	"Oekonomierat Echter-meyer"	973	"Bottom 20 Esters"	1	NA	282.31508500231
4	17	"South"	4108	"KAR 51"	315	"Top 10 Ketones"	3	298.145800827707	267.575128809535
4	55	"South"	8281	"Lande"	789	"Top 10 Aldehydes"	2	313.431974540267	282.913333608956
4	60	"South"	8278	"Fallawater"	788	"Bottom 20 Esters"	1	308.888119531022	274.572970093756
4	62	"South"	4174	"Sid the Kid"	335	"Top 20 Esters"	1	NA	254.619251044719
6	9	"South"	3347	"KAS 65"	279	"Bottom 20 Esters"	1	NA	281.88547690468
6	13	"South"	11022	"Nubeena"	1035	"Bottom 20 Esters"	1	311.734245685366	288.578292578954
6	19	"South"	3314	"KAR 80"	268	"Top 20 Esters"	1	310.414301837211	253.755317679988
6	38	"South"	7253	"S42-40-09"	674	"Bottom 20 Esters"	1	NA	259.736272670345
8	3	"South"	4173	"Sid the Kid"	335	"Top 20 Esters"	1	NA	254.619251044719
8	5	"South"	3153	"KAZ 96 08-16"	217	"Top 20 Esters"	1	285.819635691988	267.864125513346
8	54	"South"	11132	"Red Cinnamon"	1071	"Top 20 Esters"	1	NA	276.103377473031
8	55	"South"	8247	"Idajon"	778	"Top 10 Aldehydes"	2	295.793148967744	267.967902756344
10	19	"South"	6144	"Dukat"	540	"Bottom 10 Aldehydes"	2	290.303775771216	260.466259419763
10	31	"South"	10213	"Pigeonnet"	983	"Bottom 20 Esters"	1	308.919118365076	288.583582074857
10	38	"South"	3290	"KAS 60"	260	"Bottom 10 Aldehydes"	2	302.164283409809	282.009382924241
10	47	"South"	4039	"KAS 47"	1226	"Top 20 Esters"	1	288.409448454541	257.771161400125
10	54	"South"	2303	"Granny Smith"	167	"Bottom 20 Esters"	1	308.792177730089	281.69212956525
12	29	"South"	10033	"Oliver or Senator"	924	"Top 10 Aldehydes"	2	310.414301837211	271.599764278347
12	41	"South"	6204	"Champlain"	560	"Top 20 Esters"	1	263.095217704835	246.998056110343
12	55	"South"	11070	"Paragon"	1051	"Bottom 20 Esters"	1	310.740119570487	281.903611335417
14	10	"South"	5095	"Anisim"	418	"Bottom 20 Esters"	1	306.324146837445	281.426446909463
14	11	"South"	8272	"Geoagiu 21"	786	"Top 10 Aldehydes"	2	304.987759139856	253.760275502283
14	12	"South"	4245	"KAR 25"	356	"Top 10 Ketones"	3	283.987759139856	253.967902756344
14	26	"South"	3053	"Burgundy"	191	"Top 20 Esters"	1	292.343549171815	253.656030064728
14	29	"South"	6195	"Amere de Bellevue"	557	"Bottom 20 Esters"	1	306.343549171815	269.164719435614
14	49	"South"	6237	"Amelia"	571	"Bottom 10 Aldehydes"	2	308.228430933833	272.185169946036
14	62	"South"	6194	"Amere de Bellevue"	557	"Bottom 20 Esters"	1	306.343549171815	269.164719435614
16	33	"South"	4021	"KAR 112"	289	"Top 10 Ketones"	3	309.883518562886	268.21393147428
16	34	"South"	9034	"Huidobro"	818	"Bottom 10 Aldehydes"	2	306.716071434525	285.644009767475
16	39	"South"	7205	"S29-08-17"	658	"Bottom 10 Aldehydes"	2	NA	267.69212956525
18	16	"South"	7235	"S31-04-41"	668	"Top 20 Esters"	1	NA	246.860811398102
18	50	"South"	8167	"Krievu Rosmarins"	751	"Top 20 Esters"	1	258.824847011748	247.352749299067
18	61	"South"	9098	"Koidu Renett"	839	"Top 20 Esters"	1	257.403233224841	236.529072887898
18	62	"South"	6249	"Ottawa 665"	575	"Top 20 Esters"	1	300.8241131677	263.957926231171
19	18	"North"	10212	"Pigeonnet"	983	"Bottom 20 Esters"	1	308.919118365076	288.583582074857
19	35	"North"	9066	"Keegan's Crab"	829	"Top 5 Alcohols"	4	248.684691538261	239.489229287227
19	43	"North"	3121	"Smith Jonathan"	209	"Bottom 10 Aldehydes"	2	NA	281.219279083808
19	47	"North"	4107	"KAR 51"	315	"Top 10 Ketones"	3	298.145800827707	267.575128809535
19	60	"North"	11131	"Red Cinnamon"	1071	"Top 20 Esters"	1	NA	276.103377473031
19	1	"South"	4024	"KAS 69"	290	"Top 20 Esters"	1	265.10460487466	240.02873358652
19	50	"South"	10236	"Porter"	991	"Top 20 Esters"	1	288.770932305529	254.745462080596
